1000	248022	999	499500
2000	1003032	1999	1999000
3000	2319055	2999	4498500
4000	4007130	3999	7998000
5000	6283072	4999	12497500
6000	9004102	5999	17997000
7000	12463856	6999	24496500
8000	16136183	7999	31996000
9000	20119602	8999	40495500
10000	24890249	9999	49995000
11000	30618323	10999	60494500
12000	36448334	11999	71994000
13000	42577894	12999	84493500
14000	49111824	13999	97993000
15000	55884335	14999	112492500
16000	64140467	15999	127992000
17000	71676533	16999	144491500
18000	80574780	17999	161991000
19000	90560870	18999	180490500
20000	99807953	19999	199990000
